DTMNFR;ORGAO;TIPO;SIGLA;SIMBOLO;NOME_LISTA;NUM_ORDEM;NOME_CANDIDATO;PARTIDO_PROPONENTE;INDEPENDENTE
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;39;Maria Teresa dos Santos Amarante de Almeida;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;40;Bruno Miguel Neves de Brito;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;41;João Pedro Guterres Peixoto Costa Pereira;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;42;Andreia Alexandra Flores de Miranda;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;43;José Carlos Marques Nunes;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;44;Rui Fernando Garcia Marques;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;45;Cátia Alexandra Gonçalves Silva;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;46;António Manuel dos Santos Marques Ferrugem;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;47;Bruno Miguel Ventura Janeiro;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;48;Lucília Maria dos Santos;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;49;Rui Paulo Azevedo dos Santos;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;50;Alfredo José Faria Lopes;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;51;Cláudia Susana da Costa Ferreira;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;52;Nuno Alexandre Oliveira Mendes;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;53;Sara Sofia Martins Pinheiro;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;54;Ana Sofia Carvalheira Mendes;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;55;Hugo Miguel Nunes Monteiro;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;56;Armando José da Silva Rocha;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;57;Cláudia Sofia Barreto Gonçalves;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;58;João Daniel Ribeiro Canelas;PAN;N
1503000000;CM;3;PAN;;PESSOAS – ANIMAIS – NATUREZA;59;Mauro Neves Guerra Henriques Carvalho;PAN;N
